3713,"Salmon Very Light","#FFE2E2"
761,"Salmon Light","#FFC9C9"
760,"Salmon","#F5ADAD"
3712,"Salmon Medium","#F18787"
3328,"Salmon Dark","#E36D6D"
347,"Salmon Very Dark","#BF2D2D"
353,"Peach","#FED7CC"
352,"Coral Light","#FD9C97"
351,"Coral","#E96A67"
350,"Coral Medium","#E04848"
349,"Coral Dark","#D21035"
817,"Coral Red Very Dark","#BB051F"
3708,"Melon Light","#FFCBD5"
3706,"Melon Medium","#FFADBC"
3705,"Melon Dark","#FF7992"
3801,"Melon Very Dark","#E74967"
666,"Bright Red","#E31D42"
321,"Red","#C72B3B"
304,"Red Medium","#B71F33"
498,"Red Dark","#A7132B"
816,"Garnet","#970B23"
815,"Garnet Medium","#87071F"
814,"Garnet Dark","#7B001B"
894,"Carnation Very Light","#FFB2BB"
893,"Carnation Light","#FC90A2"
892,"Carnation Medium","#FF798C"
891,"Carnation Dark","#FF5773"
818,"Baby Pink","#FFDFD9"
957,"Geranium Pale","#FDB5B5"
956,"Geranium","#FF9191"
309,"Rose Dark","#BA4A4A"
963,"Dusty Rose Ultra Very Light","#FFD7D7"
3716,"Dusty Rose Medium Very Light","#FFBDBD"
962,"Dusty Rose Medium","#E68A8A"
961,"Dusty Rose Dark","#CF7373"
3833,"Raspberry Light","#EA8699"
3832,"Raspberry Medium","#DB556E"
3831,"Raspberry Dark","#B32F48"
777,"Raspberry Very Dark","#913546"
819,"Baby Pink Light","#FFEEEB"
3326,"Rose Light","#FBADB4"
776,"Pink Medium","#FCB0B9"
899,"Rose Medium","#F27688"
335,"Rose","#EE546E"
326,"Rose Very Dark","#B33B4B"
151,"Dusty Rose Very Light","#F0CED4"
3354,"Dusty Rose Light","#E4A6AC"
3733,"Dusty Rose","#E8879B"
3731,"Dusty Rose Very Dark","#DA6783"
3350,"Dusty Rose Ultra Dark","#BC4365"
150,"Dusty Rose Ultra Very Dark","#AB0249"
3689,"Mauve Light","#FBBFC2"
3688,"Mauve Medium","#E7A9AC"
3687,"Mauve","#C96B70"
3803,"Mauve Dark","#AB3357"
3685,"Mauve Very Dark","#881531"
605,"Cranberry Very Light","#FFC0CD"
604,"Cranberry Light","#FFB0BE"
603,"Cranberry","#FFA4BE"
602,"Cranberry Medium","#E24874"
601,"Cranberry Dark","#D1286A"
600,"Cranberry Very Dark","#CD2F63"
3806,"Cyclamen Pink Light","#FF8CAE"
3805,"Cyclamen Pink","#F3478B"
3804,"Cyclamen Pink Dark","#E02876"
3609,"Plum Ultra Light","#F4AED7"
3608,"Plum Very Light","#EA9CC4"
3607,"Plum Light","#C54989"
718,"Plum","#9C2462"
917,"Plum Medium","#9B1359"
915,"Plum Dark","#820043"
225,"Shell Pink Ultra Very Light","#FFDFD7"
224,"Shell Pink Very Light","#EBB7AF"
152,"Shell Pink Medium Light","#E2A099"
223,"Shell Pink Light","#CC847C"
3722,"Shell Pink Medium","#BC6C64"
3721,"Shell Pink Dark","#A14B51"
221,"Shell Pink Very Dark","#883E43"
778,"Antique Mauve Very Light","#DFB3BB"
3727,"Antique Mauve Light","#DBA9B2"
316,"Antique Mauve Medium","#B7737F"
3726,"Antique Mauve Dark","#9B5B66"
315,"Antique Mauve Medium Dark","#814952"
3802,"Antique Mauve Very Darkv","#714149"
902,"Garnet Very Dark","#822637"
3743,"Antique Violet Very Light","#D7CBD3"
3042,"Antique Violet Light","#B79DA7"
3041,"Antique Violet Medium","#956F7C"
3740,"Antique Violet Dark","#785762"
3836,"Grape Light","#BA91AA"
3835,"Grape Medium","#946083"
3834,"Grape Dark","#72375D"
154,"Grape Very Dark","#572433"
211,"Lavender Light","#E3CBE3"
210,"Lavender Medium","#D29FC3"
209,"Lavender Dark","#A37BA7"
208,"Lavender Very Dark","#835B8B"
3837,"Lavender Ultra Dark","#6C3A6E"
327,"Violet Dark","#633666"
153,"Violet Very Light","#E6CCD9"
554,"Violet Light","#DBB3CB"
553,"Violet","#A3638B"
552,"Violet Medium","#803A6B"
550,"Violet Very Dark","#5C184E"
3747,"Blue Violet Very Light","#D3D7ED"
341,"Blue Violet Light","#B7BFDD"
156,"Blue Violet Medium Light","#A3AED1"
340,"Blue Violet Medium","#ADA7C7"
155,"Blue Violet Medium Dark","#9891B6"
3746,"Blue Violet Dark","#776B98"
333,"Blue Violet Very Dark","#5C5478"
157,"Cornflower Blue Very Light","#BBC3D9"
794,"Cornflower Blue Light","#8F9CC1"
793,"Cornflower Blue Medium","#707DA2"
3807,"Cornflower Blue","#60678C"
792,"Cornflower Blue Dark","#555B7B"
158,"Cornflower Blue Very Dark","#4C526E"
